iter	RMSE
377	2.767734966
378	2.765991755
379	2.763905853
380	2.762431467
381	2.760471588
382	2.759163657
383	2.756508845
384	2.753422663
385	2.751616269
386	2.750037122
387	2.74990255
388	2.747254374
389	2.744184169
390	2.742482246
391	2.740348242
392	2.738908997
393	2.736280114
394	2.734799599
395	2.73375027
396	2.732226902
397	2.730329699
398	2.728903694
399	2.726448768
400	2.723669179
401	2.72241967
402	2.720134984
403	2.718841868
404	2.717056351
405	2.715381916
406	2.714208777
407	2.71208297
408	2.709669928
409	2.70773066
410	2.706417739
411	2.705215857
412	2.7039055
413	2.703408386
414	2.701148508
415	2.69944877
416	2.696878104
417	2.695730635
418	2.693410554
419	2.691946123
420	2.690840776
421	2.689026695
422	2.688376445
423	2.68724828
424	2.685728288
425	2.684162373
426	2.683195961
427	2.681634374
428	2.680204068
429	2.678144763
430	2.675745308
431	2.673607657
432	2.673217677
433	2.670551767
434	2.670275782
435	2.668756851
436	2.667395482
437	2.665406325
438	2.664405476
439	2.662963846
440	2.659377897
441	2.657585447
442	2.655902791
443	2.653922402
444	2.652761585
445	2.65164142
446	2.649856665
447	2.647548878
448	2.645869557
449	2.643391434
450	2.641243576
451	2.639863735
452	2.637121625
453	2.635317378
454	2.634008239
455	2.632222963
456	2.631111103
457	2.629785697
458	2.626927523
459	2.624979676
460	2.622278359
461	2.620173872
462	2.618360982
463	2.616381897
464	2.615887774
465	2.613690058
466	2.612467982
467	2.610649059
468	2.608862048
469	2.607994107
470	2.606784326
471	2.60583512
472	2.603593146
473	2.602242115
474	2.602116601
475	2.60029072
476	2.599017155
477	2.596151054
478	2.595760009
479	2.592993391
480	2.591406333
481	2.589795437
482	2.588441489
483	2.586933416
484	2.585220207
485	2.583887175
486	2.583352944
487	2.581680788
488	2.581076663
489	2.580886079
490	2.579473654
491	2.576456194
492	2.575388791
493	2.57376855
494	2.573545704
495	2.572459848
496	2.569331534
497	2.567450937
498	2.565244307
499	2.563379857
